"# Human-editable source of truth for ride_metadata.json curated fields.",,,,,,,,,,,,,,,
"# Rows whose first cell starts with '#' are comments — ignored on import.",,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,,
"# WORKFLOW",,,,,,,,,,,,,,,
"#   1. Edit any cell. Sort/filter by Park to bulk-curate a land.",,,,,,,,,,,,,,,
"#   2. Save the file (CSV format, not xlsx).",,,,,,,,,,,,,,,
"#   3. From repo root:",,,,,,,,,,,,,,,
"#        python3 themed-content/tools/curated_metadata.py import",,,,,,,,,,,,,,,
"#      Use --dry-run for a preview. Vocabulary errors abort the write.",,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,,
"# VOCABULARY",,,,,,,,,,,,,,,
"#   Appeal              comma-separated, any of:",,,,,,,,,,,,,,,
"#                       characterMeet, princess, nostalgia, icon,",,,,,,,,,,,,,,,
"#                       photoOp, parade, fireworks, airConditioned",,,,,,,,,,,,,,,
"#   BucketFit_*         empty (= no opinion) OR one of:",,,,,,,,,,,,,,,
"#                       skip, okay, great, mustDo",,,,,,,,,,,,,,,
"#   Popularity          empty OR one of: low, medium, high, iconic",,,,,,,,,,,,,,,
"#                       Drives the suggester ranking when live wait-",,,,,,,,,,,,,,,
"#                       time data is missing (closed-hour planning).",,,,,,,,,,,,,,,
"#   FeaturedCharacters  comma-separated character names (e.g.",,,,,,,,,,,,,,,
"#                       ""Mickey Mouse, Minnie Mouse""). Scaffold",,,,,,,,,,,,,,,
"#                       guesses these from the ride name; review.",,,,,,,,,,,,,,,
"#   Mobility            comma-separated MobilityAccess flags. Any of:",,,,,,,,,,,,,,,
"#                       mayRemainInWheelchair, mustBeAmbulatory,",,,,,,,,,,,,,,,
"#                       mustTransferFromWheelchair,",,,,,,,,,,,,,,,
"#                       mustTransferFromECVToWheelchair,",,,,,,,,,,,,,,,
"#                       wheelchairAccessVehicle, transferDeviceAvailable,",,,,,,,,,,,,,,,
"#                       designatedTransferAreas, transferAccessVehicle.",,,,,,,,,,,,,,,
"#                       Empty = uncurated; the app emits no wheelchair",,,,,,,,,,,,,,,
"#                       warning. Curate from Disney's Guide for Guests",,,,,,,,,,,,,,,
"#                       with Disabilities — see docs/accessibility_curation.md.",,,,,,,,,,,,,,,
"#   ServiceAnimals      empty (= permitted normally) OR one of:",,,,,,,,,,,,,,,
"#                       permitted_with_caution, not_permitted.",,,,,,,,,,,,,,,
"#                       `not_permitted` hard-blocks for service-animal",,,,,,,,,,,,,,,
"#                       users; `permitted_with_caution` shows a soft",,,,,,,,,,,,,,,
"#                       warning.",,,,,,,,,,,,,,,
"#   SensoryHazards      comma-separated SensoryHazard rawValues. Any of:",,,,,,,,,,,,,,,
"#                       strobe, loudSounds, darkness, drops, smokeOrFog.",,,,,,,,,,,,,,,
"#                       Empty = uncurated (no warning). Write the",,,,,,,,,,,,,,,
"#                       explicit list when you've verified against",,,,,,,,,,,,,,,
"#                       official sources, even if no hazards apply.",,,,,,,,,,,,,,,
"#   Notes               freeform; sparingly, for facts the typed",,,,,,,,,,,,,,,
"#                       fields miss",,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,,
"# TIPS",,,,,,,,,,,,,,,
"#   - Tag the ~15 park-defining attractions with 'icon' Appeal AND",,,,,,,,,,,,,,,
"#     'iconic' Popularity first — biggest win for the suggester before",,,,,,,,,,,,,,,
"#     the rest of the data lands.",,,,,,,,,,,,,,,
"#   - BucketFit can stay sparse; resolver defaults absent buckets to okay.",,,,,,,,,,,,,,,
"#   - Re-running 'scaffold' preserves your edits and adds rows for any",,,,,,,,,,,,,,,
"#     newly-graphed attractions. Character guesses are only seeded on",,,,,,,,,,,,,,,
"#     blank rows so re-runs never overwrite reviewed values.",,,,,,,,,,,,,,,
"#   - Accessibility data is high-stakes; the in-app disclaimer assumes",,,,,,,,,,,,,,,
"#     curated entries are correct. Under-promise: omit a field when",,,,,,,,,,,,,,,
"#     you're unsure rather than guess (uncurated = no warning fires,",,,,,,,,,,,,,,,
"#     which lets the user's own judgement carry).",,,,,,,,,,,,,,,
Attraction,EntityID,Park,Appeal,BucketFit_toddler,BucketFit_child,BucketFit_tween,BucketFit_teen,BucketFit_adult,BucketFit_senior,Popularity,FeaturedCharacters,Mobility,ServiceAnimals,SensoryHazards,Notes
Ancient Sanctum,531f6200-393e-4e4d-b95e-aedd30102e49,california-adventure,characterMeet,,,,,,,,,,,,
Animation Academy,d2aa0987-49a2-45dc-a635-3a8bf7401230,california-adventure,characterMeet,,,,,,,,,,,,
Avengers Headquarters,3ee735b5-68dc-470a-a4a2-6ddd415b9cbd,california-adventure,characterMeet,,,,,,,,,,,,
Citizens of Buena Vista Street,8d4b6d5f-558f-4210-82b5-02b0570232ea,california-adventure,,,,,,,,,,,,,
Confection Purrfection with the SuperKitties,2fdd02e8-3835-4ef8-bd07-4c3332fb84fa,california-adventure,,,,,,,,,,,,,
Cookin' with the Jammin’ Chefs,4b7f57a0-c841-43d1-8abb-d13a3b7f2597,california-adventure,,,,,,,,,,,,,
Culinary Demonstrations at the Disney California Adventure Food & Wine Festival,464ba110-9573-457b-abad-54a740e0ec33,california-adventure,,,,,,,,,,,,,
Disney Jr. Mickey Mouse Clubhouse Live!,8c0a4fdb-69e0-4e4e-ab80-d8247edabe3a,california-adventure,,mustDo,,,,,,,Mickey Mouse,,,,
Disney® Visa® Cardmember Heroic Encounter,12180467-471a-4f93-a7b1-7115aab487f2,california-adventure,characterMeet,,,,,,,,,,,,
Five & Dime,449e351b-a05a-4a52-8893-0ed5c1f6fc48,california-adventure,,,,,,,,,,,,,
Games of Pixar Pier,1d24dd7a-372b-4195-8ad0-ba9679d72b08,california-adventure,,,,,,,,,,,,,
Golden Zephyr,10a5fc6f-5ad3-414b-9bdd-e6bae097b6ad,california-adventure,,great,,,,,,,,,,,
Goofy's Sky School,f44a5072-3cda-4c7c-8574-33ad09d16cca,california-adventure,,great,,,,,,,Goofy,,,,
Grizzly River Run,b1d285a7-2444-4a7c-b7bb-d2d4d6428a85,california-adventure,,,,,,,,,,,,,
Guardians of the Galaxy - Mission: BREAKOUT!,b7678dab-5544-48d5-8fdc-c1a0127cfbcd,california-adventure,icon,,,,,,,iconic,,,,,
Guardians of the Galaxy: Awesome Dance Off!,0c6c7664-94f0-48b0-91ce-7cc2108a72c9,california-adventure,characterMeet,,,,,,,,,,,,
Incredicoaster,5d07a2b1-49ca-4de7-9d32-6d08edf69b08,california-adventure,icon,,,,,,,iconic,,,,,
Inside Out Emotional Whirlwind,6d876f4c-c3ff-4ae3-a2d8-d4b831e1039b,california-adventure,,great,,,,,,,,,,,
Jessie's Critter Carousel,388ad3f1-5cf5-4a9d-8d0e-6dfb817d7822,california-adventure,,mustDo,,,,,,,Jessie,,,,
Jumpin' Jellyfish,c8a4b7b1-c1b2-4dfe-b73c-4e834b4a73db,california-adventure,,,mustDo,mustDo,great,great,great,,,,,,
Luigi's Rollickin' Roadsters,7a09a2f0-e226-4f3e-86f8-2598ab67ec44,california-adventure,,mustDo,,,,,,,,,,,
Mater's Junkyard Jamboree,46097afe-a1ea-4807-93d3-14d14f36e55f,california-adventure,,great,,,,,,,,,,,
Meet Chef Goofy,a4374b75-7fa4-4205-9571-02099e08944f,california-adventure,characterMeet,,,,,,,,Goofy,,,,
Meet Disney Pals on Buena Vista Street,4c570f5a-c5da-4388-9804-dd56123d18ce,california-adventure,characterMeet,,,,,,,,,,,,
Meet the Residents of Radiator Springs in Cars Land,f71bfc6e-2f10-40a1-bf29-a4b98c5350f4,california-adventure,characterMeet,,,,,,,,,,,,
Mickey's PhilharMagic,8f586a2f-cef5-46d3-b822-fd622c4e9e33,california-adventure,,mustDo,,,,,,,Mickey Mouse,,,,
"Monsters, Inc. Mike & Sulley to the Rescue!",40524fba-5d84-49e7-9204-f493dbe2d5a4,california-adventure,,,,,,,,,,,,,
Operation: Playtime! - featuring the Green Army Patrol,af195dcb-a69e-499a-b659-6751ee871f79,california-adventure,,,,,,,,,,,,,
Palisades Stage,19dad87e-2df8-4fe2-9562-c711d464e4b7,california-adventure,,,,,,,,,,,,,
Paradise Garden Bandstand,dca741a6-3472-4d4f-a9aa-7774aae81754,california-adventure,,,,,,,,,,,,,
Pixar Pal-A-Round - Swinging,528016ef-db24-47fa-a0f2-b6d26d61e29f,california-adventure,,,,,,,,,,,,,
Pixar Pal-A-Round – Non-Swinging,4ca6cdbf-4c5f-45bf-b0dc-db83393ec208,california-adventure,,,,,,,,,,,,,
