Attraction,Park,Ride Characteristics,Description
Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,Disneyland Park,,"Visit the Adventureland Treehouse, where a new family has moved in and created an oasis among the trees!"
Alice in Wonderland,Disneyland Park,"Dark, Loud, Slow Rides",A family of 4 riding through an outdoor section of Alice in Wonderland
The Alley,Downtown Disney District,Live Entertainment,Musicians perform on a colorfully lit stage.
Ancient Sanctum,Disney California Adventure Park,"Character Experiences, Live Entertainment",
Animation Academy,Disney California Adventure Park,Character Experiences,
Anna & Elsa's Royal Welcome,Disney California Adventure Park,Character Experiences,Anna crouches to hug a child as Elsa smiles at them
Astro Orbitor,Disneyland Park,Spinning,A father and his 2 young kids smile from their spinning Astro Orbitor retro rocket
Autopia,Disneyland Park,"Loud, Slow Rides","The new, Honda sponsored Autopia sign stands over the entrance of this iconic attraction"
Avengers Headquarters,Disney California Adventure Park,"Character Experiences, Live Entertainment",A group of Marvel characters standing in front of Avengers Headquarters
The Bakery Tour,Disney California Adventure Park,,"Outdoor signage for The Bakery Tour hosted by Boudin Bakery, located in San Fransokyo Square at Disney California Adventure Park"
"""Believe...In Holiday Magic"" Fireworks Spectacular",Disneyland Park,Fireworks,Festive fireworks and lasers lighting up the sky above Sleeping Beauty Castle.
Better Together: A Pixar Pals Celebration!,Disney California Adventure Park,Parades,"Jessie, Buzz Lightyear, Miguel and Dante on a float in Better Together, A Pixar Pals Celebration"
Big Thunder Mountain Railroad,Disneyland Park,"Dark, Loud, Small Drops",The Big Thunder Mountain Railroad train comes around a thrilling bend
Bluey's Best Day Ever!,Disneyland Park,"Character Experiences, Live Entertainment",
Buena Vista Street Holiday Tree Lighting,Disney California Adventure Park,,A decorated Christmas tree near a cathedral and palm trees
Casey Jr. Circus Train,Disneyland Park,Slow Rides,Casey Jr. Circus Train crosses a stone Storybook Land bridge
The Celebrate Happy Cavalcade,Disneyland Park,"Live Entertainment, Parades","Mickey Mouse, Minnie Mouse, Donald Duck and Pluto on a float in the Celebrate Happy Cavalcade"
CenTOONial Park,Disneyland Park,,A tree with lanterns hanging from the branches at Centoonial Park in Mickey’s Toontown
Chip 'n' Dale's GADGETcoaster,Disneyland Park,"Small Drops, Thrill Rides",Chip and Dale’s Gadget Coaster in Mickey’s Toontown at Disneyland Park
A Christmas Fantasy Parade,Disneyland Park,"Character Experiences, Live Entertainment, Parades","Toy soldiers, playing trumpets, marching down Main Street USA"
Cookin' with the Jammin’ Chefs,Disney California Adventure Park,,"Daisy Duck, Chip, Dale and Clarabelle Cow dressed as chefs performing near cooking stations in Paradise Gardens Park"
The Dapper Dans,Disneyland Park,Live Entertainment,"A group of 4 men sing and perform outside wearing boater hats, arm garters and striped vests"
Davy Crockett's Explorer Canoes,Disneyland Park,Water Rides,A 20-passenger team paddles around the Rivers of America at Disneyland Park
Disney ¡Viva Navidad! Street Party,Disney California Adventure Park,Live Entertainment,"Mariachi musicians playing in front of a parade float carrying Minnie Mouse, Donald Duck and Mickey Mouse"
The Disney Gallery,Disneyland Park,,Artifacts and paintings are displayed in the Disney Gallery
Disney Jr. Mickey Mouse Clubhouse Live!,Disney California Adventure Park,Live Entertainment,Mickey Mouse and Minnie Mouse dancing onstage during Disney Junior Mickey Mouse Clubhouse Live
Disney® Visa® Cardmember Heroic Encounter,Disney California Adventure Park,Character Experiences,A young Guest posing for a picture with Spider Man in Disney California Adventure Park
Disney® Visa® Cardmember Photo Opportunity,Disney California Adventure Park,Character Experiences,Two young Guests posing for a picture with Stitch in Disney California Adventure Park
Disney® Visa® Cardmember Star Wars Photo Opportunity,Disneyland Park,Character Experiences,A young girl standing with her arms crossed next to Kylo Ren making a dramatic pose
Disneyland Monorail,Disneyland Park,,Ride the Disneyland Monorail transportation system around the Disneyland Resort
Disneyland Railroad,Disneyland Park,"Dark, Loud, Slow Rides",Disneyland Railroad train stopped at the Main Street Station with Guests in open air passenger cars
Donald's Duck Pond,Disneyland Park,,Donald Duck’s Pond featuring a splash area around Donald’s Boat in Mickey’s Toontown
Downtown Disney LIVE! Stage Entertainment,Downtown Disney District,Live Entertainment,
Dumbo the Flying Elephant,Disneyland Park,"Slow Rides, Spinning",A little boy wearing Mickey Ears rides Dumbo the Flying Elephant with his mom and sister
Fantasmic!,Disneyland Park,"Character Experiences, Fireworks, Live Entertainment",Lights project from Mickey’s fingertips as he performs onstage during the Fantasmic! nighttime spectacular
Fantasy Faire,Disneyland Park,"Character Experiences, Live Entertainment",Princess Cinderella and a young girl share a hug at Fantasy Faire
Finding Nemo Submarine Voyage,Disneyland Park,"Dark, Loud, Slow Rides","The Argonaut, one of the Finding Nemo Submarine Voyage vehicles, floats on the water"
Fire of the Rising Moons,Disneyland Park,Fireworks,The Millennium Falcon docked in Star Wars Galaxy’s Edge at night with fireworks lighting up the sky
Fireworks at Disneyland Park,Disneyland Park,Fireworks,Sleeping Beauty Castle illuminated at night with lighting and fireworks
Five & Dime,Disney California Adventure Park,Live Entertainment,TK
Fortune Tellers,Disneyland Park,,A fortune telling machine features a stern looking woman in flashy clothing named Esmeralda
Frontierland Shootin' Exposition,Disneyland Park,Loud,"Sign for Shooting Exposition, a Disneyland attraction"
Games of Pixar Pier,Disney California Adventure Park,,
Golden Zephyr,Disney California Adventure Park,Spinning,The Golden Zephyr ride at Disney California Adventure Park
Goofy's How-to-Play Yard,Disneyland Park,,Goofy’s How to Play Yard featuring a playground in Mickey’s Toontown at Disneyland Park
Goofy's Sky School,Disney California Adventure Park,"Loud, Small Drops, Thrill Rides","Entrance sign: Goofy's Sky School, Fly the Goofy Way"
Great Moments with Mr. Lincoln,Disneyland Park,Dark,A still from the film that starts the Disneyland Story presenting Great Moments with Mr. Lincoln
Grizzly River Run,Disney California Adventure Park,"Small Drops, Spinning, Thrill Rides",
Guardians of the Galaxy - Mission: BREAKOUT!,Disney California Adventure Park,"Big Drops, Dark, Loud",Guardians of the Galaxy Mission: BREAKOUT!
